Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1Score_Mean,F1Score_Std
No Regularization,0.9400000000000001,0.048989794855663564,0.9542499999999998,0.03746980265642072,0.9400000000000001,0.048989794855663564,0.935457668440802,0.057911114141725825
Ridge,0.8949999999999999,0.04000000000000001,0.8667791021671827,0.08233581916808004,0.8949999999999999,0.04000000000000001,0.8748973441496949,0.05902235305888999
Lasso,0.93,0.039999999999999994,0.9243045634920634,0.07739730141188075,0.93,0.039999999999999994,0.9205594870071397,0.057175295206647936
Elastic Net,0.8899999999999999,0.033911649915626334,0.8578898164528971,0.07166127966226028,0.8899999999999999,0.033911649915626334,0.8683382905896619,0.05096337426766839
KNN (K=1),0.9000000000000001,0.04183300132670379,0.9268918650793652,0.021797232820316394,0.9000000000000001,0.04183300132670379,0.9022086237713814,0.04045804569867263
KNN (K=3),0.85,0.05916079783099615,0.8850785525748762,0.05523690538813976,0.85,0.05916079783099615,0.8568889035177236,0.05758819927282837
KNN (K=5),0.805,0.1004987562112089,0.8413089031066973,0.10218024324924017,0.805,0.1004987562112089,0.8144194286574538,0.10033538316926129
